Date,Open,High,Low,Close,Adj Close,Volume
2023-12-15,38.900002,38.950001,37.974998,37.980000,37.627560,2674800
2023-12-18,38.619999,38.720001,38.110001,38.430000,38.073383,1980600
2023-12-19,38.639999,39.290001,38.509998,39.119999,38.756981,2612300
2023-12-20,38.950001,39.750000,38.900002,38.900002,38.539024,2091400
2023-12-21,39.230000,39.549999,39.099998,39.389999,39.024475,1042000
2023-12-22,39.470001,40.009998,39.470001,39.799999,39.430672,1962700
2023-12-26,39.849998,40.209999,39.654999,40.080002,39.708076,728100
2023-12-27,40.220001,40.849998,39.919998,40.430000,40.054825,2118500
2023-12-28,40.270000,40.590000,40.209999,40.320000,39.945847,665500
2023-12-29,40.169998,40.438999,39.840000,40.169998,39.797237,590000
2024-01-02,39.259998,39.639999,38.650002,38.830002,38.469673,958600
2024-01-03,38.139999,38.310001,37.775002,37.970001,37.617653,1051900
2024-01-04,37.900002,38.680000,37.695000,38.470001,38.113014,1404800
2024-01-05,38.150002,38.900002,38.150002,38.330002,37.974316,1241800
2024-01-08,38.330002,38.840000,38.330002,38.840000,38.479580,906800
2024-01-09,38.720001,38.830002,38.480000,38.720001,38.360695,838200
2024-01-10,38.770000,39.430000,38.770000,39.290001,38.925404,850300
2024-01-11,39.130001,39.279999,37.939999,38.610001,38.251717,1305000
2024-01-12,38.970001,39.244999,38.389999,38.889999,38.529114,1223000
2024-01-16,38.320000,38.750000,38.139999,38.549999,38.192272,974400
2024-01-17,37.799999,37.939999,37.189999,37.840000,37.488861,1444100
2024-01-18,38.150002,38.439999,37.650002,38.259998,37.904961,1297600
2024-01-19,38.299999,39.099998,38.119999,39.040001,38.677727,1065800
2024-01-22,39.340000,39.480000,38.749001,38.910000,38.548931,897500
2024-01-23,38.939999,39.345001,38.935001,39.230000,38.865959,741100
2024-01-24,39.619999,39.880001,39.450001,39.560001,39.192902,1319300
2024-01-25,39.799999,40.410000,39.580002,40.259998,39.886402,835400
2024-01-26,40.360001,40.799999,40.119999,40.570000,40.193527,1886700
2024-01-29,40.500000,41.070000,40.340000,41.049999,40.669071,836000
2024-01-30,41.110001,41.169998,40.720001,41.040001,40.659164,672500
2024-01-31,41.040001,41.220001,40.119999,40.189999,39.817051,1058100
2024-02-01,40.029999,40.590000,39.139999,40.290001,39.916126,1409800
2024-02-02,39.900002,40.384998,39.570000,40.270000,39.896309,803800
2024-02-05,39.939999,40.020000,39.230000,39.700001,39.331600,2473900
2024-02-06,39.799999,40.060001,39.549999,39.700001,39.331600,1409300
2024-02-07,40.169998,40.369999,38.320000,39.790001,39.420765,2449700
2024-02-08,39.919998,40.290001,39.029999,39.980000,39.609001,2371100
2024-02-09,39.930000,40.410000,39.400002,40.369999,39.995380,1405900
2024-02-12,40.619999,41.099998,40.415001,40.599998,40.223248,1250400
2024-02-13,39.599998,39.599998,38.709999,39.169998,38.806515,1253400
2024-02-14,39.750000,40.279999,39.630001,40.200001,39.826962,1063600
2024-02-15,40.360001,41.220001,40.320000,41.169998,40.787956,737200
2024-02-16,40.990002,41.230000,40.450001,40.830002,40.451115,864400
2024-02-20,40.480000,40.910000,40.439999,40.779999,40.401577,702600
2024-02-21,40.500000,40.709999,40.060001,40.570000,40.193527,489100
2024-02-22,40.930000,41.950001,40.930000,41.660000,41.273411,868900
2024-02-23,41.849998,42.029999,41.160000,41.169998,40.787956,587600
2024-02-26,41.189999,41.529999,41.000000,41.060001,40.678982,549800
2024-02-27,41.060001,41.230000,40.630001,40.950001,40.570000,743800
2024-02-28,40.369999,40.750000,40.040001,40.400002,40.400002,859200
2024-02-29,40.830002,40.919998,40.169998,40.750000,40.750000,852300
2024-03-01,40.840000,41.849998,40.840000,41.580002,41.580002,1290300
2024-03-04,41.369999,42.009998,41.369999,41.520000,41.520000,1574000
2024-03-05,41.500000,41.849998,41.270000,41.580002,41.580002,617200
2024-03-06,42.049999,42.689999,41.950001,42.189999,42.189999,862400
2024-03-07,42.639999,42.820000,42.292000,42.509998,42.509998,812700
2024-03-08,42.790001,42.860001,41.939999,42.060001,42.060001,879600
2024-03-11,41.900002,42.000000,41.264999,41.889999,41.889999,548100
2024-03-12,41.959999,42.619999,41.705002,42.189999,42.189999,797900
2024-03-13,42.349998,42.709999,41.990002,42.009998,42.009998,652200
2024-03-14,41.939999,41.939999,40.930000,41.180000,41.180000,991600
2024-03-15,40.930000,41.369999,40.514999,40.919998,40.919998,1145800
2024-03-18,40.970001,41.099998,40.430000,40.549999,40.549999,1179800
2024-03-19,40.200001,40.794998,40.130001,40.549999,40.549999,959500
2024-03-20,40.480000,41.889999,40.480000,41.759998,41.759998,943200
2024-03-21,42.200001,43.000000,41.959999,42.650002,42.650002,1326100
2024-03-22,42.730000,42.825001,42.169998,42.349998,42.349998,848400
2024-03-25,42.290001,42.500000,41.529999,41.529999,41.529999,1046000
2024-03-26,41.860001,42.279999,41.410000,41.459999,41.459999,1253600
2024-03-27,41.900002,41.900002,41.040001,41.799999,41.799999,832000
2024-03-28,41.799999,42.080002,41.544998,42.020000,42.020000,766700
2024-04-01,41.919998,42.005001,41.490002,41.939999,41.939999,1244200
2024-04-02,41.090000,41.299999,40.580002,41.029999,41.029999,1411700
2024-04-03,41.070000,41.715000,40.919998,41.599998,41.599998,1127700
2024-04-04,42.029999,42.400002,40.939999,40.980000,40.980000,1245600
2024-04-05,40.799999,41.639999,40.790001,41.330002,41.330002,1771400
2024-04-08,41.590000,41.869999,41.250000,41.369999,41.369999,797400
2024-04-09,41.590000,41.990002,40.950001,41.970001,41.970001,719000
2024-04-10,41.139999,41.400002,40.209999,40.360001,40.360001,1880400
2024-04-11,40.650002,40.650002,39.389999,40.119999,40.119999,974500
2024-04-12,39.619999,39.900002,39.119999,39.380001,39.380001,1449000
2024-04-15,39.660000,39.730000,38.380001,38.540001,38.540001,1257400
2024-04-16,38.189999,38.520000,37.799999,38.450001,38.450001,2257800
2024-04-17,38.770000,39.285000,38.560001,39.029999,39.029999,3517100
2024-04-18,39.000000,39.080002,38.139999,38.419998,38.419998,1993700
2024-04-19,38.410000,38.820000,38.119999,38.320000,38.320000,1803000
2024-04-22,38.509998,39.229000,38.160000,39.049999,39.049999,1553800
2024-04-23,39.189999,39.840000,38.959999,39.590000,39.590000,1397500
2024-04-24,39.490002,39.740002,38.869999,39.180000,39.180000,947300
2024-04-25,38.529999,39.165001,38.025002,38.970001,38.970001,1216400
2024-04-26,39.080002,39.865002,38.880001,39.700001,39.700001,846600
2024-04-29,39.970001,40.220001,39.650002,39.950001,39.950001,814200
2024-04-30,39.430000,39.580002,38.169998,38.189999,38.189999,3359600
2024-05-01,38.279999,38.970001,37.740002,38.189999,38.189999,4618400
2024-05-02,38.709999,38.709999,38.070000,38.570000,38.570000,6077800
2024-05-03,39.099998,39.590000,38.880001,39.130001,39.130001,8492800
2024-05-06,39.259998,40.119999,39.200001,39.930000,39.930000,4216000
2024-05-07,40.099998,40.660000,39.990002,40.430000,40.430000,572476
